2025/05/10 12:30:57 [error] 15392#14376: *8422 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8423 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8426 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8427 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8428 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8429 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8430 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8431 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8432 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8433 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8434 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8435 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8436 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8437 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8438 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8439 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8440 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8441 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8442 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8443 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8444 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8445 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8446 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8447 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8448 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8449 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
